entity,types,weight_count,weight_yield,weight_trust,weight_recent,top_domain,top_score,suggested_domains,domain_scores_json
seed-run-seeds_aviation-5,manual,0.5,0.0,0.0,0.0,www.pprune.org,0.0,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.0}]"
seed-run-seeds_aviation-5,manual,0.5,0.0,0.0,0.5,www.pprune.org,0.0,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.0}]"
seed-run-seeds_aviation-5,manual,0.5,0.0,0.5,0.0,www.pprune.org,0.25,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.25}]"
seed-run-seeds_aviation-5,manual,0.5,0.0,0.5,0.5,www.pprune.org,0.25,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.25}]"
seed-run-seeds_aviation-5,manual,0.5,1.0,0.0,0.0,www.pprune.org,0.0,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.0}]"
seed-run-seeds_aviation-5,manual,0.5,1.0,0.0,0.5,www.pprune.org,0.0,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.0}]"
seed-run-seeds_aviation-5,manual,0.5,1.0,0.5,0.0,www.pprune.org,0.25,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.25}]"
seed-run-seeds_aviation-5,manual,0.5,1.0,0.5,0.5,www.pprune.org,0.25,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.25}]"
seed-run-seeds_aviation-5,manual,1.0,0.0,0.0,0.0,www.pprune.org,0.0,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.0}]"
seed-run-seeds_aviation-5,manual,1.0,0.0,0.0,0.5,www.pprune.org,0.0,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.0}]"
seed-run-seeds_aviation-5,manual,1.0,0.0,0.5,0.0,www.pprune.org,0.25,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.25}]"
seed-run-seeds_aviation-5,manual,1.0,0.0,0.5,0.5,www.pprune.org,0.25,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.25}]"
seed-run-seeds_aviation-5,manual,1.0,1.0,0.0,0.0,www.pprune.org,0.0,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.0}]"
seed-run-seeds_aviation-5,manual,1.0,1.0,0.0,0.5,www.pprune.org,0.0,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.0}]"
seed-run-seeds_aviation-5,manual,1.0,1.0,0.5,0.0,www.pprune.org,0.25,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.25}]"
seed-run-seeds_aviation-5,manual,1.0,1.0,0.5,0.5,www.pprune.org,0.25,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.25}]"
seed-run-seeds_aviation-5,manual,2.0,0.0,0.0,0.0,www.pprune.org,0.0,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.0}]"
seed-run-seeds_aviation-5,manual,2.0,0.0,0.0,0.5,www.pprune.org,0.0,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.0}]"
seed-run-seeds_aviation-5,manual,2.0,0.0,0.5,0.0,www.pprune.org,0.25,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.25}]"
seed-run-seeds_aviation-5,manual,2.0,0.0,0.5,0.5,www.pprune.org,0.25,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.25}]"
seed-run-seeds_aviation-5,manual,2.0,1.0,0.0,0.0,www.pprune.org,0.0,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.0}]"
seed-run-seeds_aviation-5,manual,2.0,1.0,0.0,0.5,www.pprune.org,0.0,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.0}]"
seed-run-seeds_aviation-5,manual,2.0,1.0,0.5,0.0,www.pprune.org,0.25,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.25}]"
seed-run-seeds_aviation-5,manual,2.0,1.0,0.5,0.5,www.pprune.org,0.25,www.pprune.org,"[{""domain"": ""www.pprune.org"", ""count"": 0, ""yield_score"": 0.0, ""trust_score"": 0.5, ""recent_score"": 0.0, ""composite_score"": 0.25}]"
