entity,types,weight_count,weight_yield,weight_trust,weight_recent,domain,composite_score,count,yield_score,trust_score,recent_score
seed-run-pdf_only-2,pdf,0.5,0.0,0.0,0.0,www.w3.org,0.0,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,0.5,0.0,0.0,0.0,www.adobe.com,0.0,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,0.5,0.0,0.0,0.5,www.w3.org,0.0,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,0.5,0.0,0.0,0.5,www.adobe.com,0.0,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,0.5,0.0,0.5,0.0,www.w3.org,0.25,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,0.5,0.0,0.5,0.0,www.adobe.com,0.25,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,0.5,0.0,0.5,0.5,www.w3.org,0.25,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,0.5,0.0,0.5,0.5,www.adobe.com,0.25,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,0.5,1.0,0.0,0.0,www.w3.org,1.0,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,0.5,1.0,0.0,0.0,www.adobe.com,1.0,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,0.5,1.0,0.0,0.5,www.w3.org,1.0,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,0.5,1.0,0.0,0.5,www.adobe.com,1.0,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,0.5,1.0,0.5,0.0,www.w3.org,1.25,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,0.5,1.0,0.5,0.0,www.adobe.com,1.25,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,0.5,1.0,0.5,0.5,www.w3.org,1.25,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,0.5,1.0,0.5,0.5,www.adobe.com,1.25,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,1.0,0.0,0.0,0.0,www.w3.org,0.0,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,1.0,0.0,0.0,0.0,www.adobe.com,0.0,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,1.0,0.0,0.0,0.5,www.w3.org,0.0,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,1.0,0.0,0.0,0.5,www.adobe.com,0.0,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,1.0,0.0,0.5,0.0,www.w3.org,0.25,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,1.0,0.0,0.5,0.0,www.adobe.com,0.25,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,1.0,0.0,0.5,0.5,www.w3.org,0.25,0,1.0,0.5,0.0
seed-run-pdf_only-2,pdf,1.0,0.0,0.5,0.5,www.adobe.com,0.25,0,1.0,0.5,0.0
